Idiopathic generalized epilepsy	idiopathic generalized epilepsy,,generalized idiopathic epilepsy, not intractable,,refractory idiopathic generalized epilepsy,,idiopathic generalized epilepsy in childhood,,epilepsy, idiopathic generalized, susceptibility to, 3,,epilepsy, idiopathic generalized, susceptibility to, 2,,epilepsy, idiopathic generalized, susceptibility to, 4 (finding),,epilepsy, idiopathic generalized, susceptibility to, 6,,epilepsy, idiopathic generalized, susceptibility to, 5 (finding),,epilepsy, idiopathic generalized, susceptibility to, 1,,epilepsy, idiopathic generalized, susceptibility to, 9,,epilepsy, idiopathic generalized, susceptibility to, 11,,epilepsy, idiopathic generalized, susceptibility to, 10,,epilepsy, idiopathic generalized, susceptibility to, 7,,epilepsy, idiopathic generalized, susceptibility to, 8,,idiopathic generalized epilepsy, non-refractory,,epilepsy, idiopathic generalized, susceptibility to, 12,,epilepsy, idiopathic generalized, susceptibility to, 13,,epilepsy, idiopathic generalized, susceptibility to, 14,,epilepsy, idiopathic generalized, susceptibility to, 15,,epilepsy, idiopathic generalized, susceptibility to, 16,,photoparoxysmal response 2,,epilepsy, idiopathic generalized, susceptibility to, locus on chromosome 8,,generalized idiopathic epilepsy, not intractable, with status epilepticus,,generalized idiopathic epilepsy and epileptic syndromes without intractability
 essential thrombocytemia	thrombocythemia, essential
thrombocythemia, essential	 essential thrombocytemia,,essential thrombocytemia,,Essential thrombocythemia
thrombocythemia 2	thrombocythemia 2,,thrombocythemia 2,,thrombocythemia 2, somatic,,thrombocythemia 2, susceptibility to
thrombocythemia 2, somatic	thrombocythemia 2
thrombocythemia 2, susceptibility to	thrombocythemia 2
essential thrombocytemia	thrombocythemia, essential
Essential thrombocythemia	thrombocythemia, essential,,megakaryocytic leukemia in relapse,,refractory anemia with ring sideroblasts associated with marked thrombocytosis,,post-essential thrombocythemia myelofibrosis,,inherited predisposition to essential thrombocythemia,,megakaryocytic leukemia in remission
megakaryocytic leukemia in relapse	Essential thrombocythemia
refractory anemia with ring sideroblasts associated with marked thrombocytosis	Essential thrombocythemia,,Myeloproliferative Neoplasm
post-essential thrombocythemia myelofibrosis	Essential thrombocythemia,,Myelofibrosis
inherited predisposition to essential thrombocythemia	Essential thrombocythemia
megakaryocytic leukemia in remission	Essential thrombocythemia
Thrombocytosis, benign familial microcytic	thrombocytosis, benign familial microcytic
Myelofibrosis	primary myelofibrosis,,myelofibrosis,,myelofibrosis assessment,,osteomyelosclerosis,,myelofibrosis due to another disorder,,acute panmyelosis with myelofibrosis,,myelofibrosis with myelometaplasia,,anemia; myelofibrosis,,myelofibrosis, somatic,,familial myelofibrosis,,ischemic myelofibrosis,,recurrent myelofibrosis,,refractory myelofibrosis,,agnogenic myeloid metaplasia with myelofibrosis,,acute myelofibrosis, in remission,,overt primary myelofibrosis,,prefibrotic/early primary myelofibrosis,,acute panmyelosis with myelofibrosis in remission,,acute panmyelosis with myelofibrosis in relapse,,myelofibrosis (idiopathic) (with myeloid metaplasia),,secondary myelofibrosis in myeloproliferative disease,,post-polycythemia vera myelofibrosis,,post-essential thrombocythemia myelofibrosis,,myelofibrosis with myeloid metaplasia, somatic,,thrombocytopenia, anemia, and myelofibrosis
primary myelofibrosis	Myelofibrosis
myelofibrosis	Myelofibrosis
myelofibrosis assessment	Myelofibrosis
osteomyelosclerosis	Myelofibrosis
myelofibrosis due to another disorder	Myelofibrosis
acute panmyelosis with myelofibrosis	Myelofibrosis
myelofibrosis with myelometaplasia	Myelofibrosis
anemia; myelofibrosis	Myelofibrosis
myelofibrosis, somatic	Myelofibrosis
familial myelofibrosis	Myelofibrosis
ischemic myelofibrosis	Myelofibrosis
recurrent myelofibrosis	Myelofibrosis
refractory myelofibrosis	Myelofibrosis
agnogenic myeloid metaplasia with myelofibrosis	Myelofibrosis
acute myelofibrosis, in remission	Myelofibrosis
overt primary myelofibrosis	Myelofibrosis
prefibrotic/early primary myelofibrosis	Myelofibrosis
acute panmyelosis with myelofibrosis in remission	Myelofibrosis
acute panmyelosis with myelofibrosis in relapse	Myelofibrosis
myelofibrosis (idiopathic) (with myeloid metaplasia)	Myelofibrosis
secondary myelofibrosis in myeloproliferative disease	Myelofibrosis
post-polycythemia vera myelofibrosis	Myelofibrosis
myelofibrosis with myeloid metaplasia, somatic	Myelofibrosis
thrombocytopenia, anemia, and myelofibrosis	Myelofibrosis
Myeloproliferative Neoplasm	myeloproliferative disease,,chronic myeloproliferative disorder,,myelodysplastic-myeloproliferative diseases,,myelodysplastic/myeloproliferative neoplasm, unclassifiable,,myeloproliferative neoplasm, unclassifiable,,pdgfra-associated chronic eosinophilic leukemia,,recurrent myeloproliferative neoplasm,,recurrent myelodysplastic/myeloproliferative neoplasm,,refractory myeloproliferative neoplasm,,refractory myelodysplastic/myeloproliferative neoplasm,,therapy-related myelodysplastic/myeloproliferative neoplasm,,myeloproliferative neoplasm symptom assessment form,,refractory anemia with ring sideroblasts associated with marked thrombocytosis,,ivd panels, human genetics, cancer, somatic mutation, myeloid neoplasm, myeloproliferative neoplasm,,acute myeloid leukemia arising from previous myeloproliferative neoplasm,,acute myeloid leukemia arising from previous myelodysplastic/myeloproliferative neoplasm
myeloproliferative disease	Myeloproliferative Neoplasm
chronic myeloproliferative disorder	Myeloproliferative Neoplasm
myelodysplastic-myeloproliferative diseases	Myeloproliferative Neoplasm
myelodysplastic/myeloproliferative neoplasm, unclassifiable	Myeloproliferative Neoplasm
myeloproliferative neoplasm, unclassifiable	Myeloproliferative Neoplasm
pdgfra-associated chronic eosinophilic leukemia	Myeloproliferative Neoplasm
recurrent myeloproliferative neoplasm	Myeloproliferative Neoplasm
recurrent myelodysplastic/myeloproliferative neoplasm	Myeloproliferative Neoplasm
refractory myeloproliferative neoplasm	Myeloproliferative Neoplasm
refractory myelodysplastic/myeloproliferative neoplasm	Myeloproliferative Neoplasm
therapy-related myelodysplastic/myeloproliferative neoplasm	Myeloproliferative Neoplasm
myeloproliferative neoplasm symptom assessment form	Myeloproliferative Neoplasm
ivd panels, human genetics, cancer, somatic mutation, myeloid neoplasm, myeloproliferative neoplasm	Myeloproliferative Neoplasm
acute myeloid leukemia arising from previous myeloproliferative neoplasm	Myeloproliferative Neoplasm
acute myeloid leukemia arising from previous myelodysplastic/myeloproliferative neoplasm	Myeloproliferative Neoplasm
Seizures	seizures,,no seizures,,febrile convulsions,,epilepsy,,myoclonic epilepsy,,absence epilepsy,,epilepsy, temporal lobe,,jacksonian seizure,,west syndrome,,status epilepticus,,fit frequency,,seizure management,,convulsions in the newborn,,generalized seizures,,clonic seizures,,stress seizure,,withdrawal seizures,,tremors and/or seizures,,unilateral seizure,,gelastic epilepsy,,visual seizure,,complex partial seizure with impairment of consciousness,,tonic seizures,,epileptic drop attack,,reflex epilepsy, reading
seizures	Seizures
no seizures	Seizures
febrile convulsions	Seizures
epilepsy	Seizures
myoclonic epilepsy	Seizures
absence epilepsy	Seizures
epilepsy, temporal lobe	Seizures
jacksonian seizure	Seizures
west syndrome	Seizures
status epilepticus	Seizures
fit frequency	Seizures
seizure management	Seizures
convulsions in the newborn	Seizures
generalized seizures	Seizures
clonic seizures	Seizures
stress seizure	Seizures
withdrawal seizures	Seizures
tremors and/or seizures	Seizures
unilateral seizure	Seizures
gelastic epilepsy	Seizures
visual seizure	Seizures
complex partial seizure with impairment of consciousness	Seizures
tonic seizures	Seizures
epileptic drop attack	Seizures
reflex epilepsy, reading	Seizures
Early infantile epileptic encephalopathy	x-linked infantile spasms,,early myoclonic encephalopathy,,infantile severe myoclonic epilepsy,,hyperekplexia and epilepsy,,epilepsy, female-restricted, with mental retardation (disorder),,epileptic encephalopathy, early infantile, 4,,hypomyelination, global cerebral,,microcephaly, seizures, and developmental delay,,developmental and epileptic encephalopathy 5,,epileptic encephalopathy, early infantile, 7,,epileptic encephalopathy, early infantile, 11,,developmental and epileptic encephalopathy 12,,multiple congenital anomalies-hypotonia-seizures syndrome 2,,scn8a-related epilepsy with encephalopathy,,epileptic encephalopathy, early infantile, 1,,early infantile epileptic encephalopathy, refractory,,epileptic encephalopathy, early infantile, 36,,developmental and epileptic encephalopathy 14,,developmental and epileptic encephalopathy 15,,solute carrier family 35 member a2 congenital disorder of glycosylation,,developmental and epileptic encephalopathy 16,,epileptic encephalopathy, early infantile, 17,,developmental and epileptic encephalopathy 18,,developmental and epileptic encephalopathy 19,,developmental and epileptic encephalopathy 21
x-linked infantile spasms	Early infantile epileptic encephalopathy
early myoclonic encephalopathy	Early infantile epileptic encephalopathy
infantile severe myoclonic epilepsy	Early infantile epileptic encephalopathy
hyperekplexia and epilepsy	Early infantile epileptic encephalopathy
epilepsy, female-restricted, with mental retardation (disorder)	Early infantile epileptic encephalopathy
epileptic encephalopathy, early infantile, 4	Early infantile epileptic encephalopathy
hypomyelination, global cerebral	Early infantile epileptic encephalopathy
microcephaly, seizures, and developmental delay	Early infantile epileptic encephalopathy
developmental and epileptic encephalopathy 5	Early infantile epileptic encephalopathy
epileptic encephalopathy, early infantile, 7	Early infantile epileptic encephalopathy
epileptic encephalopathy, early infantile, 11	Early infantile epileptic encephalopathy
developmental and epileptic encephalopathy 12	Early infantile epileptic encephalopathy
multiple congenital anomalies-hypotonia-seizures syndrome 2	Early infantile epileptic encephalopathy
scn8a-related epilepsy with encephalopathy	Early infantile epileptic encephalopathy
epileptic encephalopathy, early infantile, 1	Early infantile epileptic encephalopathy
early infantile epileptic encephalopathy, refractory	Early infantile epileptic encephalopathy
epileptic encephalopathy, early infantile, 36	Early infantile epileptic encephalopathy
developmental and epileptic encephalopathy 14	Early infantile epileptic encephalopathy
developmental and epileptic encephalopathy 15	Early infantile epileptic encephalopathy
solute carrier family 35 member a2 congenital disorder of glycosylation	Early infantile epileptic encephalopathy
developmental and epileptic encephalopathy 16	Early infantile epileptic encephalopathy
epileptic encephalopathy, early infantile, 17	Early infantile epileptic encephalopathy
developmental and epileptic encephalopathy 18	Early infantile epileptic encephalopathy
developmental and epileptic encephalopathy 19	Early infantile epileptic encephalopathy
developmental and epileptic encephalopathy 21	Early infantile epileptic encephalopathy
complex neurodevelopmental disorder	no results
Gorlin syndrome	basal cell nevus syndrome,,focal dermal hypoplasia,,bixler christian gorlin syndrome,,goldenhar syndrome,,gorlin chaudhry moss syndrome,,orofaciodigital syndrome i,,mesomelic dysplasia, kantaputra type,,lopes gorlin syndrome,,oculomaxillofacial dysostosis,,microphthalmia, syndromic 2,,ear, patella, short stature syndrome,,gorlin bushkell jensen syndrome,,meier-gorlin syndrome 2,,meier-gorlin syndrome 3,,meier-gorlin syndrome 4,,meier-gorlin syndrome 5,,meier-gorlin syndrome 6,,meier-gorlin syndrome 7,,meier-gorlin syndrome 8,,meier-gorlin syndrome 1,,gorlin syndrome gene mutation reagents,,ivd panels, human genetics, cancer, familial, basal cell nevus syndrome
basal cell nevus syndrome	Gorlin syndrome,,nevoid basal cell carcinoma syndrome
focal dermal hypoplasia	Gorlin syndrome
bixler christian gorlin syndrome	Gorlin syndrome
goldenhar syndrome	Gorlin syndrome
gorlin chaudhry moss syndrome	Gorlin syndrome
orofaciodigital syndrome i	Gorlin syndrome
mesomelic dysplasia, kantaputra type	Gorlin syndrome
lopes gorlin syndrome	Gorlin syndrome
oculomaxillofacial dysostosis	Gorlin syndrome
microphthalmia, syndromic 2	Gorlin syndrome
ear, patella, short stature syndrome	Gorlin syndrome,,Meier-Gorlin syndrome
gorlin bushkell jensen syndrome	Gorlin syndrome
meier-gorlin syndrome 2	Gorlin syndrome,,Meier-Gorlin syndrome
meier-gorlin syndrome 3	Gorlin syndrome,,Meier-Gorlin syndrome
meier-gorlin syndrome 4	Gorlin syndrome,,Meier-Gorlin syndrome
meier-gorlin syndrome 5	Gorlin syndrome,,Meier-Gorlin syndrome
meier-gorlin syndrome 6	Gorlin syndrome,,Meier-Gorlin syndrome
meier-gorlin syndrome 7	Gorlin syndrome,,Meier-Gorlin syndrome
meier-gorlin syndrome 8	Gorlin syndrome,,Meier-Gorlin syndrome
meier-gorlin syndrome 1	Gorlin syndrome,,Meier-Gorlin syndrome,,Meier-Gorlin syndrome 1
gorlin syndrome gene mutation reagents	Gorlin syndrome
ivd panels, human genetics, cancer, familial, basal cell nevus syndrome	Gorlin syndrome,,nevoid basal cell carcinoma syndrome
nevoid basal cell carcinoma syndrome	basal cell nevus syndrome,,nevoid basal cell carcinoma syndrome associated medulloblastoma,,nevoid basal cell carcinoma syndrome (nbccs) gene mutation reagents,,ivd panels, human genetics, cancer, familial, basal cell nevus syndrome
nevoid basal cell carcinoma syndrome associated medulloblastoma	nevoid basal cell carcinoma syndrome
nevoid basal cell carcinoma syndrome (nbccs) gene mutation reagents	nevoid basal cell carcinoma syndrome
Leukoencephalopathy with vanishing white matter	childhood ataxia with central nervous system hypomyelinization,,leukoencephalopathy with vanishing white matter, adult-onset,,ivd panels, human genetics, encephalopathy, leukoencephalopathy, vanishing white matter,,ivd panels, human genetics, encephalopathy, leukoencephalopathy, vanishing white matter, mutation,,leukoencephalopathy with vanishing white matter gene mutation detection reagents,,ivd panels, human genetics, encephalopathy, leukoencephalopathy, vanishing white matter, del/dup,,leukoencephalopathy with vanishing white matter gene anomaly detection reagents
childhood ataxia with central nervous system hypomyelinization	Leukoencephalopathy with vanishing white matter
leukoencephalopathy with vanishing white matter, adult-onset	Leukoencephalopathy with vanishing white matter
ivd panels, human genetics, encephalopathy, leukoencephalopathy, vanishing white matter	Leukoencephalopathy with vanishing white matter
ivd panels, human genetics, encephalopathy, leukoencephalopathy, vanishing white matter, mutation	Leukoencephalopathy with vanishing white matter
leukoencephalopathy with vanishing white matter gene mutation detection reagents	Leukoencephalopathy with vanishing white matter
ivd panels, human genetics, encephalopathy, leukoencephalopathy, vanishing white matter, del/dup	Leukoencephalopathy with vanishing white matter
leukoencephalopathy with vanishing white matter gene anomaly detection reagents	Leukoencephalopathy with vanishing white matter
Porphyria cutanea tarda	variegate porphyria,,porphyria cutanea tarda,,hepatoerythropoietic porphyria,,familial porphyria cutanea tarda,,porphyria cutanea tarda, idiosyncratic,,porphyria cutanea tarda, acquired,,sporadic porphyria cutanea tarda,,porphyria cutanea tarda, susceptibility to,,porphyria cutanea tarda associated with alcohol,,porphyria cutanea tarda, drug-induced,,porphyria cutanea tarda, hexachlorobenzene induced,,porphyria cutanea tarda, type i,,porphyria cutanea tarda gene mutation detection reagents,,familial porphyria cutanea tarda gene mutation reagents,,porphyria cutanea tarda (pct) type 2 gene mutation reagents
variegate porphyria	Porphyria cutanea tarda
porphyria cutanea tarda	Porphyria cutanea tarda
hepatoerythropoietic porphyria	Porphyria cutanea tarda
familial porphyria cutanea tarda	Porphyria cutanea tarda,,Familial porphyria cutanea tarda
porphyria cutanea tarda, idiosyncratic	Porphyria cutanea tarda
porphyria cutanea tarda, acquired	Porphyria cutanea tarda
sporadic porphyria cutanea tarda	Porphyria cutanea tarda
porphyria cutanea tarda, susceptibility to	Porphyria cutanea tarda
porphyria cutanea tarda associated with alcohol	Porphyria cutanea tarda
porphyria cutanea tarda, drug-induced	Porphyria cutanea tarda
porphyria cutanea tarda, hexachlorobenzene induced	Porphyria cutanea tarda
porphyria cutanea tarda, type i	Porphyria cutanea tarda
porphyria cutanea tarda gene mutation detection reagents	Porphyria cutanea tarda
familial porphyria cutanea tarda gene mutation reagents	Porphyria cutanea tarda,,Familial porphyria cutanea tarda
porphyria cutanea tarda (pct) type 2 gene mutation reagents	Porphyria cutanea tarda
Familial porphyria cutanea tarda	familial porphyria cutanea tarda,,familial porphyria cutanea tarda gene mutation reagents
MYH-associated polyposis	adenomatous polyposis coli,,mutyh-associate polyposis
adenomatous polyposis coli	MYH-associated polyposis,,Familial multiple polyposis syndrome
mutyh-associate polyposis	MYH-associated polyposis
Carcinoma of colon	colon carcinoma,,colon carcinoma monosialoganglioside antigen,,stage 0 carcinoma of colon,,stage i colon carcinoma,,stage ii colon cancer,,stage iii colon cancer,,colon cancer recurrent,,scirrhous carcinoma of the colon,,undifferentiated carcinoma of colon,,carcinoma in situ of ascending colon,,carcinoma in situ of transverse colon,,carcinoma in situ of descending colon,,carcinoma in situ of sigmoid colon,,ptk7 protein, human,,carcinoma of left colon,,carcinoma of right colon,,carcinoma of descending colon,,carcinoma of ascending colon,,carcinoma of transverse colon,,carcinoma of sigmoid colon,,scirrhous carcinoma of the colon recurrent,,colon carcinoma dukes b1,,colon carcinoma dukes b2,,stage iv colon carcinoma,,colon adenosquamous carcinoma
colon carcinoma	Carcinoma of colon
colon carcinoma monosialoganglioside antigen	Carcinoma of colon
stage 0 carcinoma of colon	Carcinoma of colon
stage i colon carcinoma	Carcinoma of colon
stage ii colon cancer	Carcinoma of colon
stage iii colon cancer	Carcinoma of colon
colon cancer recurrent	Carcinoma of colon
scirrhous carcinoma of the colon	Carcinoma of colon
undifferentiated carcinoma of colon	Carcinoma of colon
carcinoma in situ of ascending colon	Carcinoma of colon
carcinoma in situ of transverse colon	Carcinoma of colon
carcinoma in situ of descending colon	Carcinoma of colon
carcinoma in situ of sigmoid colon	Carcinoma of colon
ptk7 protein, human	Carcinoma of colon
carcinoma of left colon	Carcinoma of colon
carcinoma of right colon	Carcinoma of colon
carcinoma of descending colon	Carcinoma of colon
carcinoma of ascending colon	Carcinoma of colon
carcinoma of transverse colon	Carcinoma of colon
carcinoma of sigmoid colon	Carcinoma of colon
scirrhous carcinoma of the colon recurrent	Carcinoma of colon
colon carcinoma dukes b1	Carcinoma of colon
colon carcinoma dukes b2	Carcinoma of colon
stage iv colon carcinoma	Carcinoma of colon
colon adenosquamous carcinoma	Carcinoma of colon
MUTYH-related attenuated familial adenomatous polyposis	no results
hereditary breast carcinoma	breast cancer, familial,,hereditary female breast carcinoma,,hereditary male breast carcinoma
breast cancer, familial	hereditary breast carcinoma,,Breast carcinoma
hereditary female breast carcinoma	hereditary breast carcinoma
hereditary male breast carcinoma	hereditary breast carcinoma
familial ovarian cancer	hereditary breast and ovarian cancer syndrome,,ovarian cancer, familial, susceptibility to, 2,,ovarian cancer, familial, susceptibility to, 1,,ovarian cancer, familial, susceptibility to, 3,,breast-ovarian cancer, familial, susceptibility to, 2,,breast-ovarian cancer, familial, susceptibility to, 1,,breast-ovarian cancer, familial, susceptibility to, 3,,breast-ovarian cancer, familial, susceptibility to, 4,,susceptibility to familial breast-ovarian cancer syndrome,,ivd panels, human genetics, cancer, familial, ovarian,,ivd panels, human genetics, cancer, familial, breast/ovarian,,ivd panels, human genetics, cancer, familial, breast/ovarian, del/dup,,ivd panels, human genetics, cancer, familial, breast/ovarian, mutation,,ivd panels, human genetics, cancer, familial, ovarian, del/dup,,ivd panels, human genetics, cancer, familial, ovarian, mutation,,familial breast-ovarian cancer 1 (brovca1) gene anomaly detection reagents,,familial breast-ovarian cancer 2 (brovca2) gene anomaly detection reagents,,breast-ovarian cancer, familial, susceptibility to, 2, 2-bp del (allelic variant),,brca1 (brca1, dna repair associated) (eg, hereditary breast and ovarian cancer) gene analysis; known familial variant,,brca2 (brca2, dna repair associated) (eg, hereditary breast and ovarian cancer) gene analysis; known familial variant
hereditary breast and ovarian cancer syndrome	familial ovarian cancer
ovarian cancer, familial, susceptibility to, 2	familial ovarian cancer
ovarian cancer, familial, susceptibility to, 1	familial ovarian cancer
ovarian cancer, familial, susceptibility to, 3	familial ovarian cancer
breast-ovarian cancer, familial, susceptibility to, 2	familial ovarian cancer
breast-ovarian cancer, familial, susceptibility to, 1	familial ovarian cancer
breast-ovarian cancer, familial, susceptibility to, 3	familial ovarian cancer
breast-ovarian cancer, familial, susceptibility to, 4	familial ovarian cancer
susceptibility to familial breast-ovarian cancer syndrome	familial ovarian cancer
ivd panels, human genetics, cancer, familial, ovarian	familial ovarian cancer
ivd panels, human genetics, cancer, familial, breast/ovarian	familial ovarian cancer
ivd panels, human genetics, cancer, familial, breast/ovarian, del/dup	familial ovarian cancer
ivd panels, human genetics, cancer, familial, breast/ovarian, mutation	familial ovarian cancer
ivd panels, human genetics, cancer, familial, ovarian, del/dup	familial ovarian cancer
ivd panels, human genetics, cancer, familial, ovarian, mutation	familial ovarian cancer
familial breast-ovarian cancer 1 (brovca1) gene anomaly detection reagents	familial ovarian cancer
familial breast-ovarian cancer 2 (brovca2) gene anomaly detection reagents	familial ovarian cancer
breast-ovarian cancer, familial, susceptibility to, 2, 2-bp del (allelic variant)	familial ovarian cancer
brca1 (brca1, dna repair associated) (eg, hereditary breast and ovarian cancer) gene analysis; known familial variant	familial ovarian cancer
brca2 (brca2, dna repair associated) (eg, hereditary breast and ovarian cancer) gene analysis; known familial variant	familial ovarian cancer
Familial multiple polyposis syndrome	adenomatous polyposis coli,,family history of familial multiple polyposis syndrome
family history of familial multiple polyposis syndrome	Familial multiple polyposis syndrome
Breast carcinoma	female breast carcinoma,,carcinoma of male breast,,breast carcinoma,,noninfiltrating intraductal carcinoma,,tumor-associated antigen 72,,stage 0 breast carcinoma,,carcinoma, lobular,,carcinoma breast stage i,,breast cancer stage ii,,carcinoma breast stage iv,,stage iiia breast carcinoma,,breast cancer recurrent,,stage iiib breast carcinoma,,inflammatory breast carcinoma,,lobular carcinoma in situ of breast,,invasive lobular breast carcinoma,,bilateral breast cancer,,secretory breast carcinoma,,noninfiltrating intraductal papillary adenocarcinoma,,intracystic papillary breast carcinoma,,scirrhous carcinoma of breast,,breast cancer, familial,,carcinoma in situ of skin of breast,,other carcinoma in situ of breast,,carcinoma of axillary tail of breast
female breast carcinoma	Breast carcinoma
carcinoma of male breast	Breast carcinoma
breast carcinoma	Breast carcinoma
noninfiltrating intraductal carcinoma	Breast carcinoma
tumor-associated antigen 72	Breast carcinoma
stage 0 breast carcinoma	Breast carcinoma
carcinoma, lobular	Breast carcinoma
carcinoma breast stage i	Breast carcinoma
breast cancer stage ii	Breast carcinoma
carcinoma breast stage iv	Breast carcinoma
stage iiia breast carcinoma	Breast carcinoma
breast cancer recurrent	Breast carcinoma
stage iiib breast carcinoma	Breast carcinoma
inflammatory breast carcinoma	Breast carcinoma
lobular carcinoma in situ of breast	Breast carcinoma
invasive lobular breast carcinoma	Breast carcinoma
bilateral breast cancer	Breast carcinoma
secretory breast carcinoma	Breast carcinoma
noninfiltrating intraductal papillary adenocarcinoma	Breast carcinoma
intracystic papillary breast carcinoma	Breast carcinoma
scirrhous carcinoma of breast	Breast carcinoma
carcinoma in situ of skin of breast	Breast carcinoma
other carcinoma in situ of breast	Breast carcinoma
carcinoma of axillary tail of breast	Breast carcinoma
Methylmalonic acidemia with homocystinuria	adenosylcobalamin and methylcobalamin synthesis defect,,cobalamin d disease,,methylmalonic acidemia with homocystinuria,,methylmalonic aciduria and homocystinuria, cbld type,,methylmalonic aciduria and homocystinuria, cblf type (disorder)
adenosylcobalamin and methylcobalamin synthesis defect	Methylmalonic acidemia with homocystinuria
cobalamin d disease	Methylmalonic acidemia with homocystinuria
methylmalonic acidemia with homocystinuria	Methylmalonic acidemia with homocystinuria,,Cobalamin C disease,,methylmalonic aciduria and homocystinuria type cblC,,Methylmalonic acidemia with homocystinuria cblC
methylmalonic aciduria and homocystinuria, cbld type	Methylmalonic acidemia with homocystinuria
methylmalonic aciduria and homocystinuria, cblf type (disorder)	Methylmalonic acidemia with homocystinuria
Disorders of Intracellular Cobalamin Metabolism	no results
Cobalamin C disease	methylmalonic acidemia with homocystinuria
methylmalonic aciduria and homocystinuria type cblC	methylmalonic acidemia with homocystinuria,,mmachc gene,,methylmalonic aciduria and homocystinuria, cblc type, digenic,,mmachc protein, human,,molecular pathology procedure, level 5 - methylmalonic aciduria [cobalamin deficiency
mmachc gene	methylmalonic aciduria and homocystinuria type cblC
methylmalonic aciduria and homocystinuria, cblc type, digenic	methylmalonic aciduria and homocystinuria type cblC
mmachc protein, human	methylmalonic aciduria and homocystinuria type cblC
molecular pathology procedure, level 5 - methylmalonic aciduria [cobalamin deficiency	methylmalonic aciduria and homocystinuria type cblC
Methylmalonic acidemia with homocystinuria cblC	methylmalonic acidemia with homocystinuria
muscular dystrophy-dystroglycanopathy	muscular dystrophy - dystroglycanopathy - type c9,,muscular dystrophy - dystroglycanopathy - type c5,,muscular dystrophy - dystroglycanopathy - type c4,,muscular dystrophy - dystroglycanopathy - type c3,,muscular dystrophy - dystroglycanopathy - type c2,,muscular dystrophy - dystroglycanopathy - type c14,,muscular dystrophy - dystroglycanopathy - type c1,,muscular dystrophy - dystroglycanopathy - type b6,,muscular dystrophy - dystroglycanopathy - type b5,,muscular dystrophy - dystroglycanopathy - type b4,,muscular dystrophy - dystroglycanopathy - type b3,,muscular dystrophy - dystroglycanopathy - type b2,,muscular dystrophy - dystroglycanopathy - type b14,,muscular dystrophy - dystroglycanopathy - type b1,,muscular dystrophy - dystroglycanopathy - type a8,,muscular dystrophy - dystroglycanopathy - type a7,,muscular dystrophy - dystroglycanopathy - type a6,,muscular dystrophy - dystroglycanopathy - type a5,,muscular dystrophy - dystroglycanopathy - type a4,,muscular dystrophy - dystroglycanopathy - type a3,,muscular dystrophy - dystroglycanopathy - type a2,,muscular dystrophy - dystroglycanopathy - type a14,,muscular dystrophy - dystroglycanopathy - type a13,,muscular dystrophy - dystroglycanopathy - type a12,,muscular dystrophy - dystroglycanopathy - type a11
muscular dystrophy - dystroglycanopathy - type c9	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type c5	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type c4	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type c3	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type c2	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type c14	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type c1	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type b6	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type b5	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type b4	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type b3	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type b2	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type b14	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type b1	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type a8	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type a7	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type a6	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type a5	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type a4	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type a3	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type a2	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type a14	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type a13	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type a12	muscular dystrophy-dystroglycanopathy
muscular dystrophy - dystroglycanopathy - type a11	muscular dystrophy-dystroglycanopathy
Congenital Muscular Dystrophy, alpha-dystroglycan related	no results
