Gene,Disease,MOI,"Expert Panel",SOP,Classification,"Last Eval."
IDUA,"mucopolysaccharidosis type 1",AR,"General Gene Curation",SOP7,Definitive,05/27/2020
IL1RAPL1,"intellectual disability, X-linked 21",XL,"Intellectual Disability and Autism",SOP5,Definitive,01/03/2018
IL1RAPL1,"non-syndromic X-linked intellectual disability",XL,"Intellectual Disability and Autism",SOP5,Definitive,03/15/2021
ILDR1,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Definitive,11/21/2017
ILK,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,09/04/2020
INF2,"Charcot-Marie-Tooth disease dominant intermediate E",AD,Charcot-Marie-Tooth,SOP8,Definitive,03/22/2021
INO80,"immunodeficiency, common variable, 1",AR,"Antibody Immunodeficiencies",SOP8,Disputed,01/22/2021
INS,"monogenic diabetes",AR,"Monogenic Diabetes",SOP7,Definitive,05/13/2020
INS,"monogenic diabetes",AD,"Monogenic Diabetes",SOP7,Definitive,05/13/2020
IQSEC2,"complex neurodevelopmental disorder",XL,"Intellectual Disability and Autism",SOP7,Definitive,06/05/2019
IRF2BP2,"immunodeficiency, common variable, 14",AD,"Antibody Immunodeficiencies",SOP8,Limited,03/16/2021
ITGA2B,"Glanzmann's thrombasthenia",AR,"Hemostasis Thrombosis",SOP6,Definitive,09/04/2019
ITGB3,"Glanzmann's thrombasthenia",AR,"Hemostasis Thrombosis",SOP6,Definitive,08/28/2019
ITK,"lymphoproliferative syndrome 1",AR,"Hereditary Cancer",SOP6,Definitive,11/21/2019
IVD,"isovaleric acidemia",AR,Aminoacidopathy,SOP6,Definitive,05/10/2019
JAK3,"T-B+ severe combined immunodeficiency due to JAK3 deficiency",AR,SCID-CID,SOP8,Definitive,12/18/2020
JPH2,"dilated cardiomyopathy",SD,"Dilated Cardiomyopathy",SOP7,Moderate,10/09/2020
JPH2,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP5,Moderate,07/18/2017
JUP,"arrhythmogenic right ventricular cardiomyopathy",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,Definitive,07/27/2018
KARS1,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP5,Limited,08/24/2018
KAT6B,RASopathy,AD,RASopathy,SOP6,Disputed,02/04/2019
KATNAL2,"complex neurodevelopmental disorder",AD,"Intellectual Disability and Autism",SOP7,Disputed,05/20/2020
KBTBD13,"nemaline myopathy 6",AD,"Congenital Myopathies",SOP7,Moderate,06/22/2020
KCNA2,"undetermined early-onset epileptic encephalopathy",AD,Epilepsy,SOP5,Strong,10/20/2017
KCNA2,"infantile epilepsy syndrome",AD,Epilepsy,SOP5,Strong,05/31/2018
KCNB1,"complex neurodevelopmental disorder",AD,Epilepsy,SOP6,Definitive,04/16/2019
KCND3,"Brugada syndrome 1",AD,"Brugada Syndrome",SOP5,Disputed,11/21/2017
KCNE1,"long QT syndrome 5",AD,"Long QT Syndrome",SOP8,Limited,12/15/2020
KCNE1,"Jervell and Lange-Nielsen syndrome 2",AR,"Hearing Loss",SOP6,Moderate,06/22/2018
KCNE2,"long QT syndrome",AD,"Long QT Syndrome",SOP8,Disputed,12/15/2020
KCNE3,"Brugada syndrome",AD,"Brugada Syndrome",SOP5,Disputed,11/21/2017
KCNE5,"Brugada syndrome",AD,"Brugada Syndrome",SOP5,Disputed,11/21/2017
KCNH2,"Brugada syndrome",AD,"Brugada Syndrome",SOP5,Disputed,11/21/2017
KCNH2,"long QT syndrome",AD,"Long QT Syndrome",SOP7,Definitive,09/25/2018
KCNJ10,"enlarged vestibular aqueduct syndrome",AD,"Hearing Loss",SOP5,Disputed,09/18/2018
KCNJ11,"monogenic diabetes",AD,"Monogenic Diabetes",SOP7,Definitive,08/21/2020
KCNJ2,"long QT syndrome",AD,"Long QT Syndrome",SOP8,Limited,12/15/2020
KCNJ5,"long QT syndrome",AD,"Long QT Syndrome",SOP8,Disputed,12/15/2020
KCNJ8,"Brugada syndrome 1",AD,"Brugada Syndrome",SOP5,Disputed,11/21/2017
KCNQ1,"Jervell and Lange-Nielsen syndrome",AR,"Hearing Loss",SOP6,Definitive,12/19/2017
KCNQ1,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP7,"No Known Disease Relationship",04/07/2020
KCNQ1,"long QT syndrome",AD,"Long QT Syndrome",SOP7,Definitive,09/25/2018
KCNQ2,"undetermined early-onset epileptic encephalopathy",AD,Epilepsy,SOP5,Definitive,06/14/2018
KCNQ4,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Definitive,11/21/2017
KCNT1,"childhood-onset epilepsy syndrome",AD,Epilepsy,SOP5,Definitive,10/20/2017
KCTD7,"progressive myoclonus epilepsy",AR,Epilepsy,SOP7,Definitive,09/02/2020
KDM5C,"X-linked syndromic intellectual disability",XL,"Intellectual Disability and Autism",SOP6,Definitive,09/19/2018
KDR,"pulmonary arterial hypertension",AD,"Pulmonary Hypertension",SOP8,Strong,01/20/2021
KDSR,"erythrokeratodermia variabilis et progressiva 4",AR,"Hemostasis Thrombosis",SOP7,Definitive,07/22/2020
KIF1A,"syndromic intellectual disability",AD,"Intellectual Disability and Autism",SOP7,Definitive,09/24/2020
KIF1B,"Charcot-Marie-Tooth disease type 2A1",AD,Charcot-Marie-Tooth,SOP7,"No Known Disease Relationship",10/05/2020
KIT,"gastrointestinal stromal tumor",AD,"Hereditary Cancer",SOP7,Definitive,01/14/2020
KITLG,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Limited,01/16/2018
KLF10,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP6,Limited,08/01/2017
KLF11,"monogenic diabetes",AD,"Monogenic Diabetes",SOP7,Disputed,02/12/2020
KLHL40,"nemaline myopathy 8",AR,"Congenital Myopathies",SOP6,Definitive,11/05/2019
KLHL41,"nemaline myopathy 9",AR,"Congenital Myopathies",SOP6,Moderate,11/05/2019
KRAS,"cardiofaciocutaneous syndrome",AD,RASopathy,SOP5,Strong,07/24/2018
KRAS,"Noonan syndrome",AD,RASopathy,SOP5,Definitive,07/24/2018
KRAS,"Costello syndrome",AD,RASopathy,SOP5,Disputed,07/24/2018
KYNU,"vertebral, cardiac, renal, and limb defects syndrome 2",AR,Aminoacidopathy,SOP7,Moderate,07/10/2020
L1CAM,"L1 syndrome",XL,"Intellectual Disability and Autism",SOP6,Definitive,10/02/2019
LAMA2,"LAMA2-related muscular dystrophy",AR,"Congenital Myopathies",SOP8,Definitive,01/27/2021
LAMA4,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,08/12/2020
LAMB1,"cobblestone lissencephaly without muscular or ocular involvement",AR,"General Gene Curation",SOP4,Moderate,11/15/2016
LAMC3,"complex neurodevelopmental disorder",AD,"Intellectual Disability and Autism",SOP7,Disputed,09/01/2020
LAMP2,"Danon disease",XL,"Hypertrophic Cardiomyopathy",SOP5,Definitive,10/11/2017
LARS2,"Perrault syndrome",AR,"Hearing Loss",SOP5,Strong,06/27/2018
LBR,"regressive spondylometaphyseal dysplasia",AR,"General Gene Curation",SOP4,Moderate,12/01/2016
LDB3,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,09/25/2020
LDB3,"arrhythmogenic right ventricular cardiomyopathy",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,Disputed,09/12/2019
LDLR,"hypercholesterolemia, familial, 1",SD,"General Gene Curation",SOP8,Definitive,02/24/2021
LGI1,"Autosomal dominant epilepsy with auditory features",AD,Epilepsy,SOP7,Definitive,07/07/2020
LHFPL5,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Definitive,04/24/2018
LIAS,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Limited,03/11/2021
LITAF,"Charcot-Marie-Tooth disease",AD,Charcot-Marie-Tooth,SOP7,Moderate,04/07/2020
LMAN1,"factor V and factor VIII, combined deficiency of, type 1",AR,"Hemostasis Thrombosis",SOP6,Definitive,11/27/2019
LMNA,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Definitive,11/06/2020
LMNA,"arrhythmogenic right ventricular cardiomyopathy",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,Limited,09/06/2019
LMOD3,"nemaline myopathy 10",AR,"Congenital Myopathies",SOP6,Definitive,09/09/2019
LOX,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Strong,07/25/2016
LOXHD1,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Definitive,05/08/2018
LPIN1,"myoglobinuria, acute recurrent, autosomal recessive",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,09/25/2018
LRPPRC,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Definitive,12/19/2019
LRRC10,"dilated cardiomyopathy",AR,"Dilated Cardiomyopathy",SOP7,"No Known Disease Relationship",09/04/2020
LRTOMT,"autosomal recessive nonsyndromic deafness 63",AR,"Hearing Loss",SOP4,Definitive,02/15/2017
LYST,"Chediak-Higashi syndrome",AR,"Hemostasis Thrombosis",SOP7,Definitive,05/27/2020
LZTR1,"Noonan syndrome",AD,RASopathy,SOP7,Definitive,04/23/2020
LZTR1,"Noonan syndrome",AR,RASopathy,SOP7,Strong,09/11/2020
MAGI2,"infantile epilepsy syndrome",XL,Epilepsy,SOP5,Disputed,06/26/2018
MAN1B1,MAN1B1-CDG,AR,"Intellectual Disability and Autism",SOP7,Definitive,08/04/2020
MAOA,"Brunner syndrome",XL,"Intellectual Disability and Autism",SOP7,Definitive,04/14/2020
MAP2K1,"Noonan syndrome",AD,RASopathy,SOP5,Limited,07/24/2018
MAP2K1,"Costello syndrome",AD,RASopathy,SOP5,Disputed,07/24/2018
MAP2K1,"Noonan syndrome with multiple lentigines",AD,RASopathy,SOP5,Limited,05/29/2018
MAP2K1,"cardiofaciocutaneous syndrome",AD,RASopathy,SOP5,Definitive,05/29/2018
MAP2K2,"Noonan syndrome",AD,RASopathy,SOP5,Limited,06/01/2018
MAP2K2,"cardiofaciocutaneous syndrome",AD,RASopathy,SOP5,Definitive,07/24/2018
MAP3K20,"myopathy, centronuclear, 6, with fiber-type disproportion",AR,"Congenital Myopathies",SOP7,Moderate,06/08/2020
MARS1,"Charcot-Marie-Tooth disease",AD,Charcot-Marie-Tooth,SOP7,Limited,10/05/2020
MARVELD2,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP5,Definitive,08/29/2018
MAT1A,"methionine adenosyltransferase deficiency",AR,Aminoacidopathy,SOP7,Definitive,09/13/2019
MAT2A,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Limited,07/03/2016
MBD5,"complex neurodevelopmental disorder",AD,"Intellectual Disability and Autism",SOP6,Moderate,11/21/2018
MCCC1,"3-methylcrotonyl-CoA carboxylase deficiency",AR,Aminoacidopathy,SOP6,Definitive,10/25/2019
MCCC2,"3-methylcrotonyl-CoA carboxylase deficiency",AR,Aminoacidopathy,SOP6,Definitive,10/25/2019
MCEE,"methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency",AR,Aminoacidopathy,SOP7,Definitive,07/09/2020
MCM2,"autosomal dominant nonsyndromic deafness 70",AD,"Hearing Loss",SOP5,Limited,01/04/2018
MCM2,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP7,Limited,04/21/2020
MCPH1,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,Limited,01/11/2017
MCPH1,"familial ovarian cancer",AD,"Breast/Ovarian Cancer",SOP4,"No Known Disease Relationship",01/11/2017
MECP2,"Rett syndrome",XL,"Rett and Angelman-like Disorders",SOP5,Definitive,05/02/2018
MED12,"MED12-related intellectual disability syndrome",XL,"Intellectual Disability and Autism",SOP5,Definitive,04/27/2018
MED23,"syndromic intellectual disability",AR,"Intellectual Disability and Autism",SOP7,Moderate,04/01/2020
MED25,"Charcot-Marie-Tooth disease type 2B2",AR,Charcot-Marie-Tooth,SOP8,Disputed,03/22/2021
MEF2C,"complex neurodevelopmental disorder",AD,"Intellectual Disability and Autism",SOP6,Definitive,02/06/2019
MEGF10,"MEGF10-Related Myopathy",AR,"Congenital Myopathies",SOP7,Definitive,01/27/2020
MEN1,"multiple endocrine neoplasia type 1",AD,"Hereditary Cancer",SOP7,Definitive,05/13/2020
MET,"papillary renal cell carcinoma",AD,"Hereditary Cancer",SOP6,Definitive,10/11/2018
MET,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Limited,12/19/2017
MFAP5,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Moderate,12/22/2016
MFSD8,"neuronal ceroid lipofuscinosis",AR,Epilepsy,SOP8,Definitive,12/15/2020
MIB1,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,"No Known Disease Relationship",09/04/2020
MID1,"X-linked Opitz G/BBB syndrome",XL,"Intellectual Disability and Autism",SOP5,Definitive,03/21/2018
MIR96,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Moderate,12/04/2018
MITF,"Waardenburg syndrome type 2",AD,"Hearing Loss",SOP5,Definitive,07/26/2018
MLH1,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,Disputed,06/14/2017
MLH1,"colorectal cancer, hereditary nonpolyposis, type 2",AD,"Colon Cancer",SOP4,Definitive,07/10/2017
MLH1,"mismatch repair cancer syndrome 1",AR,"Hereditary Cancer",SOP6,Definitive,10/09/2018
MLH3,"hereditary nonpolyposis colon cancer",AD,"Colon Cancer",SOP4,Moderate,02/14/2017
MLYCD,"malonic aciduria",AR,"Fatty Acid Oxidation Disorders",SOP6,Definitive,06/26/2018
MMAA,"vitamin B12-responsive methylmalonic acidemia type cblA",AR,Aminoacidopathy,SOP7,Definitive,02/12/2021
MMAB,"methylmalonic acidemia without homocystinuria",AR,Aminoacidopathy,SOP7,Definitive,02/17/2021
MMACHC,"methylmalonic aciduria and homocystinuria type cblC",AR,Aminoacidopathy,SOP7,Definitive,06/29/2020
MMUT,"methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency",AR,Aminoacidopathy,SOP6,Definitive,05/09/2019
MPIG6B,"thrombocytopenia, anemia, and myelofibrosis",AR,"Hemostasis Thrombosis",SOP7,Definitive,10/28/2020
MPL,"thrombocythemia 2",AD,"Hemostasis Thrombosis",SOP7,Definitive,07/22/2020
MPL,"congenital amegakaryocytic thrombocytopenia",AR,"Hemostasis Thrombosis",SOP7,Definitive,07/22/2020
MPZ,"Charcot-Marie-Tooth disease",AD,Charcot-Marie-Tooth,SOP7,Definitive,08/25/2020
MRAS,"Noonan syndrome",AD,RASopathy,SOP7,Moderate,08/27/2020
MRE11,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,Disputed,10/25/2017
MRE11,"familial ovarian cancer",AD,"Breast/Ovarian Cancer",SOP4,Disputed,10/25/2017
MRPS34,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Moderate,08/27/2020
MSH2,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,Disputed,10/11/2017
MSH2,"Lynch syndrome",AD,"Colon Cancer",SOP4,Definitive,09/11/2017
MSH2,"mismatch repair cancer syndrome 1",AR,"Hereditary Cancer",SOP6,Definitive,10/09/2018
MSH3,"MSH3-related attenuated familial adenomatous polyposis",AR,"Colon Cancer",SOP4,Moderate,12/13/2016
MSH3,"hereditary nonpolyposis colon cancer",AD,"Colon Cancer",SOP4,Limited,11/13/2017
MSH6,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,Disputed,07/26/2017
MSH6,"Lynch syndrome",AD,"Colon Cancer",SOP4,Definitive,09/25/2017
MSH6,"mismatch repair cancer syndrome 1",AR,"Hereditary Cancer",SOP6,Definitive,10/09/2018
MSRB3,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Moderate,11/15/2017
MSX2,"parietal foramina",AD,"Craniofacial Malformations",SOP7,Definitive,07/08/2020
MSX2,"craniosynostosis 2",AD,"Craniofacial Malformations",SOP7,Definitive,09/28/2020
MTFMT,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Definitive,03/19/2020
MTHFR,"homocystinuria due to methylene tetrahydrofolate reductase deficiency",AR,Aminoacidopathy,SOP6,Definitive,06/18/2019
MTM1,"X-linked centronuclear myopathy",XL,"Congenital Myopathies",SOP7,Definitive,11/22/2019
MTMR2,"demyelinating hereditary motor and sensory neuropathy",AR,Charcot-Marie-Tooth,SOP7,Definitive,02/11/2020
MUTYH,"MUTYH-related attenuated familial adenomatous polyposis",AD,"Colon Cancer",SOP4,Moderate,10/09/2017
MUTYH,"MUTYH-related attenuated familial adenomatous polyposis",AR,"Colon Cancer",SOP4,Definitive,06/12/2017
MUTYH,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,"No Known Disease Relationship",05/25/2017
MUTYH,"familial ovarian cancer",AD,"Breast/Ovarian Cancer",SOP4,Limited,11/29/2017
MUTYH,"hereditary breast carcinoma",AR,"Breast/Ovarian Cancer",SOP4,"No Known Disease Relationship",05/24/2017
MUTYH,"familial ovarian cancer",AR,"Breast/Ovarian Cancer",SOP4,Limited,11/29/2017
MYBPC3,"hypertrophic cardiomyopathy 4",AD,"Hypertrophic Cardiomyopathy",SOP5,Definitive,09/05/2017
MYBPC3,"arrhythmogenic right ventricular cardiomyopathy",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,Limited,08/06/2019
MYBPC3,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,09/04/2020
MYH11,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Definitive,07/03/2016
MYH14,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP7,Moderate,08/31/2020
MYH2,"myopathy, proximal, and ophthalmoplegia",SD,"Congenital Myopathies",SOP7,Definitive,03/09/2020
MYH6,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP5,Limited,11/01/2017
MYH6,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,09/04/2020
MYH7,"arrhythmogenic right ventricular cardiomyopathy",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,Limited,08/06/2019
MYH7,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP8,Definitive,03/16/2021
MYH7,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Definitive,11/13/2020
MYH9,"MYH-9 related disease",AD,"Hearing Loss",SOP5,Definitive,07/17/2018
MYL1,"congenital myopathy",AR,"Congenital Myopathies",SOP7,Limited,04/13/2020
MYL2,"hypertrophic cardiomyopathy 10",AD,"Hypertrophic Cardiomyopathy",SOP4,Definitive,02/07/2017
MYL2,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,10/09/2020
MYL2,"arrhythmogenic right ventricular cardiomyopathy",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,"No Known Disease Relationship",05/24/2019
MYL3,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP5,Definitive,10/04/2016
MYL3,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Disputed,10/09/2020
MYL3,"arrhythmogenic right ventricular cardiomyopathy",AD,"Arrhythmogenic Right Ventricular Cardiomyopathy",SOP7,Limited,09/13/2019
MYLK,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Strong,12/18/2016
MYLK2,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP6,Limited,04/17/2017
MYO15A,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Definitive,11/21/2017
MYO18B,"Klippel-Feil anomaly-myopathy-facial dysmorphism syndrome",AR,"Congenital Myopathies",SOP7,Limited,01/12/2020
MYO1A,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Refuted,01/16/2018
MYO1C,"autosomal dominant nonsyndromic deafness",AD,"Hearing Loss",SOP5,Disputed,06/28/2018
MYO1F,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP5,Disputed,08/22/2018
MYO3A,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Strong,11/15/2017
MYO6,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Definitive,02/20/2018
MYO7A,"Usher syndrome type 1",AR,"Hearing Loss",SOP5,Definitive,06/29/2018
MYO7A,"nonsyndromic genetic deafness",AD,"Hearing Loss",SOP6,Definitive,03/19/2018
MYO9A,"arthrogryposis syndrome",AR,"General Gene Curation",SOP4,Limited,11/24/2016
MYOM1,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP5,Limited,08/01/2018
MYOZ2,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP5,Limited,08/01/2018
MYPN,"MYPN-related myopathy",AR,"Congenital Myopathies",SOP7,Definitive,06/17/2020
MYPN,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP7,Limited,05/01/2020
MYPN,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,10/09/2020
MYT1L,"intellectual disability, autosomal dominant 39",AD,"Intellectual Disability and Autism",SOP7,Definitive,08/18/2020
NAA10,"NAA10-related syndrome",XL,"Intellectual Disability and Autism",SOP7,Definitive,09/02/2020
NADK2,"progressive encephalopathy with leukodystrophy due to DECR deficiency",AR,"Fatty Acid Oxidation Disorders",SOP6,Moderate,02/27/2018
NAGS,"hyperammonemia due to N-acetylglutamate synthase deficiency",AR,Aminoacidopathy,SOP6,Definitive,07/26/2019
NARS2,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Limited,12/19/2019
NARS2,"nonsyndromic genetic deafness",AR,"Hearing Loss",SOP6,Limited,12/19/2017
NAT8L,"N-acetylaspartate deficiency",AR,Aminoacidopathy,SOP7,Limited,10/23/2020
NBEA,"complex neurodevelopmental disorder",AD,"Intellectual Disability and Autism",SOP8,Definitive,12/02/2020
NBEAL2,"gray platelet syndrome",AR,"Hemostasis Thrombosis",SOP6,Definitive,06/26/2019
NBN,"hereditary breast carcinoma",AD,"Breast/Ovarian Cancer",SOP4,Limited,09/27/2017
NBN,"Nijmegen breakage syndrome",AR,"Hereditary Cancer",SOP6,Definitive,08/14/2019
NDP,"Norrie disease",XL,"Intellectual Disability and Autism",SOP5,Definitive,03/21/2018
NDUFA1,"Leigh syndrome",XL,"Mitochondrial Diseases",SOP6,Moderate,05/20/2019
NDUFA10,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Limited,11/25/2019
NDUFA12,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Limited,11/25/2019
NDUFA13,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Moderate,01/21/2021
NDUFA2,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Moderate,05/20/2019
NDUFA4,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Limited,01/14/2021
NDUFA9,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Moderate,11/25/2019
NDUFAF2,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Definitive,11/23/2020
NDUFAF4,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Limited,02/12/2020
NDUFAF6,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Definitive,11/23/2020
NDUFB8,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Moderate,01/21/2021
NDUFC2,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP7,Moderate,01/21/2021
NDUFS1,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Definitive,06/20/2019
NDUFS3,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Moderate,06/20/2019
NDUFS4,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Definitive,04/08/2019
NDUFS7,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Moderate,11/25/2019
NDUFS8,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Moderate,11/25/2019
NDUFV1,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Definitive,11/26/2019
NDUFV2,"Leigh syndrome",AR,"Mitochondrial Diseases",SOP6,Limited,11/25/2019
NEB,"nemaline myopathy 2",AR,"Congenital Myopathies",SOP6,Definitive,10/21/2019
NEBL,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,09/25/2020
NEFH,"Charcot-Marie-Tooth disease axonal type 2CC",AD,Charcot-Marie-Tooth,SOP7,Definitive,10/05/2020
NEUROD1,"monogenic diabetes",AR,"Monogenic Diabetes",SOP7,Moderate,03/10/2021
NEXMIF,"complex neurodevelopmental disorder",XL,"Intellectual Disability and Autism",SOP7,Definitive,05/29/2020
NEXN,"hypertrophic cardiomyopathy",AD,"Hypertrophic Cardiomyopathy",SOP5,Limited,10/28/2016
NEXN,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Moderate,08/12/2020
NF1,"familial ovarian cancer",AD,"Breast/Ovarian Cancer",SOP4,"No Known Disease Relationship",02/22/2017
NF1,"neurofibromatosis type 1",AD,"General Gene Curation",SOP7,Definitive,03/05/2019
NF2,"neurofibromatosis type 2",AD,"General Gene Curation",SOP6,Definitive,02/27/2019
NFKBIZ,"hereditary nonpolyposis colon cancer",AD,"Colon Cancer",SOP4,Limited,07/10/2017
NGLY1,NGLY1-deficiency,AR,"General Gene Curation",SOP4,Definitive,12/01/2016
NHLRC1,"Lafora disease",AR,Epilepsy,SOP7,Definitive,03/03/2020
NHP2,"dyskeratosis congenita",AR,"General Gene Curation",SOP4,Limited,01/25/2017
NHS,"Nance-Horan syndrome",XL,"Intellectual Disability and Autism",SOP5,Definitive,10/20/2017
NIPBL,"Cornelia de Lange syndrome",AD,"Intellectual Disability and Autism",SOP5,Definitive,06/20/2018
NKX2-5,"dilated cardiomyopathy",AD,"Dilated Cardiomyopathy",SOP7,Limited,11/06/2020
NLGN3,"complex neurodevelopmental disorder",XL,"Intellectual Disability and Autism",SOP5,Moderate,09/19/2018
NLGN4X,"complex neurodevelopmental disorder",XL,"Intellectual Disability and Autism",SOP6,Definitive,07/17/2019
NOD2,"Blau syndrome",AD,"Syndromic Disorders",SOP7,Definitive,10/07/2020
NOTCH1,"familial thoracic aortic aneurysm and aortic dissection",AD,"Familial Thoracic Aortic Aneurysm and Dissection",SOP4,Limited,04/06/2016
NPHP4,"nephronophthisis 4",AR,"Kidney Cystic and Ciliopathy Disorders",SOP8,Definitive,02/10/2021
NPPA,"dilated cardiomyopathy",AR,"Dilated Cardiomyopathy",SOP7,"No Known Disease Relationship",09/04/2020
NRAS,"Costello syndrome",AD,RASopathy,SOP5,Limited,07/24/2018
NRAS,"Noonan syndrome",AD,RASopathy,SOP5,Definitive,05/30/2018
NRAS,"cardiofaciocutaneous syndrome",AD,RASopathy,SOP5,Limited,07/24/2018
NRAS,"Noonan syndrome with multiple lentigines",AD,RASopathy,SOP5,Limited,05/30/2018
NRXN1,"complex neurodevelopmental disorder",AD,"Intellectual Disability and Autism",SOP6,Definitive,07/10/2019
NSD1,"Sotos syndrome",AD,"Intellectual Disability and Autism",SOP6,Definitive,10/26/2018
NSDHL,"CK syndrome",XL,"Intellectual Disability and Autism",SOP8,Moderate,01/20/2021
